station_pair,time,delay,coherence,station1,station2
TX.PB10_TX.PCOS,23.0,-0.42928357653887433,0.8103369952735661,PB10,PCOS
TX.PB10_TX.PCOS,27.0,0.04637382311384496,0.8156911138363032,PB10,PCOS
TX.PB10_TX.PCOS,31.0,0.11643207790166904,0.7923931483322305,PB10,PCOS
TX.PB10_TX.PCOS,35.0,0.8095362437442724,0.8303456486323693,PB10,PCOS
TX.PB10_TX.PCOS,39.0,-1.3643173652023703,0.7648386893539979,PB10,PCOS
TX.PB10_TX.PCOS,43.0,0.208526049945796,0.8491452690365062,PB10,PCOS
TX.PB10_TX.PCOS,47.0,-0.4348483699585768,0.8319855974847608,PB10,PCOS
TX.PB10_TX.PCOS,51.0,0.2145163616436601,0.8137142323493285,PB10,PCOS
TX.PB10_TX.PCOS,55.0,0.02764796743661523,0.7682362335544157,PB10,PCOS
TX.PB10_TX.PECS,9.0,0.40203219149483377,0.8694744465891686,PB10,PECS
TX.PB10_TX.PECS,13.0,0.3977450336655535,0.8205277538199512,PB10,PECS
TX.PB10_TX.PECS,17.0,0.33518550018519405,0.7955948725511801,PB10,PECS
TX.PB10_TX.PECS,21.0,0.8491218334294234,0.8124223640526316,PB10,PECS
TX.PB10_TX.PECS,25.0,-0.3959974274990427,0.7620744627065502,PB10,PECS
TX.PB10_TX.PECS,29.0,0.6304431135415917,0.835128310186846,PB10,PECS
TX.PB10_TX.PECS,33.0,0.44724011220267507,0.844896264539701,PB10,PECS
TX.PB10_TX.PECS,37.0,-0.48296786884574405,0.8381839857393016,PB10,PECS
TX.PB10_TX.PECS,41.0,0.8283939029372615,0.8107161239818927,PB10,PECS
TX.PB10_TX.PECS,45.0,-0.31882815401851156,0.7886059650727684,PB10,PECS
TX.PB10_TX.PECS,49.0,0.29085238902057814,0.8089980940715139,PB10,PECS
TX.PB12_TX.PB14,41.0,0.3050132234846115,0.8406463891489483,PB12,PB14
TX.PB12_TX.PB14,45.0,-0.5921523296782227,0.8379817002708269,PB12,PB14
TX.PB12_TX.PB14,49.0,0.3929391457865247,0.8458174746678123,PB12,PB14
